"seqn","ocq130","ocq150","ocq160","ocq180","ocq210","ocd230","ocd240","ocq260","ocd270","ocq280","ocq290g","ocq290q","ocq300","ocq310a","ocq310b","ocq310c","ocq330a","ocq330b","ocq330c","ocq330d","ocq330e","ocq340","ocq350","ocq360","ocq380","ocq390g","ocd390","ocd395","ocq420","ocq430","ocq440","ocq450","ocq470g","ocd470","ocd480"
1094,NA,1,NA,40,NA,29,13,1,1,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,19,42,NA,NA,NA,NA,NA,NA,NA
1095,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,39,180,2,NA,NA,NA,NA,NA,NA
1096,NA,1,NA,40,NA,4,37,1,120,1,1,2,1,2,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,NA,1,NA,40,NA,8,6,1,0,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,38,204,1,1,10,1,NA,NA,NA
1102,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,NA,1,NA,40,NA,31,11,5,60,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1105,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,31,360,1,1,4,2,NA,NA,NA
1108,NA,1,NA,60,NA,1,26,5,84,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,NA,1,NA,35,NA,23,15,1,24,2,2,NA,1,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,NA,1,NA,40,NA,39,13,1,60,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,168,NA,NA,NA,NA,NA,NA,NA
1112,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,NA,1,NA,50,NA,10,29,1,180,1,2,NA,1,2,2,1,NA,NA,NA,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,21,24,2,NA,NA,NA,NA,NA,NA
1118,NA,1,NA,40,NA,44,2,2,300,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,336,2,NA,NA,NA,NA,NA,NA
1120,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,480,2,NA,NA,NA,NA,NA,NA
1121,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1122,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,168,2,NA,NA,NA,NA,NA,NA
1123,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,6,2,NA,NA,NA,NA,NA,NA
1124,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,NA,1,NA,40,NA,29,13,1,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,12,84,NA,NA,NA,NA,NA,NA,NA
1127,NA,1,NA,50,NA,8,34,1,12,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,1,1,NA,1,3,48,NA,2,NA,NA,NA,NA,NA
1128,NA,1,NA,40,NA,40,16,4,288,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,384,1,1,7,2,NA,NA,NA
1131,NA,1,NA,33,2,40,16,3,8,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,36,NA,NA,NA,NA,NA,NA,NA
1132,NA,1,NA,40,NA,30,37,4,168,1,2,NA,1,2,2,1,1,2,NA,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,30,480,2,NA,NA,NA,NA,NA,NA
1136,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,12,264,2,NA,NA,NA,NA,NA,NA
1138,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,2,NA,NA,NA,NA,NA,NA
1139,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,48,2,NA,NA,NA,NA,NA,NA
1140,NA,1,NA,4,2,28,23,1,2,2,2,NA,1,2,2,1,NA,2,NA,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141,NA,1,NA,40,NA,24,9,1,108,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
1142,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,40,1,2,NA,NA,NA,NA,NA,NA
1144,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,38,264,2,NA,NA,NA,NA,NA,NA
1145,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,34,36,2,NA,NA,NA,NA,NA,NA
1149,NA,1,NA,40,NA,33,17,1,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,NA,1,NA,5,2,35,13,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,NA,1,NA,104,NA,37,4,1,24,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1155,NA,1,NA,28,1,18,16,1,5,1,2,NA,1,2,1,1,NA,2,NA,NA,NA,1,1,10,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
1156,NA,1,NA,40,NA,42,11,1,1,2,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,11,18,NA,NA,NA,NA,NA,NA,NA
1158,NA,1,NA,48,NA,43,18,4,288,1,1,2,1,2,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1159,NA,1,NA,28,2,8,11,1,24,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1160,NA,1,NA,45,NA,31,13,1,12,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161,NA,2,1,50,NA,18,28,1,36,1,1,8,1,1,1,1,1,NA,NA,NA,NA,1,1,24,NA,1,30,240,NA,1,6,1,NA,NA,NA
1163,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,26,180,2,NA,NA,NA,NA,NA,NA
1164,NA,1,NA,65,NA,32,29,1,168,2,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,10,NA,1,30,180,NA,1,8,1,NA,NA,NA
1166,NA,1,NA,50,NA,98,98,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1167,NA,1,NA,40,NA,4,30,1,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,30,300,NA,1,6,2,NA,NA,NA
1168,NA,1,NA,23,2,26,11,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
1170,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,48,2,NA,NA,NA,NA,NA,NA
1171,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,240,1,1,2,1,NA,NA,NA
1173,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,41,216,2,NA,NA,NA,NA,NA,NA
1174,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,31,420,1,1,10,2,NA,NA,NA
1178,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,22,24,2,NA,NA,NA,4,NA,NA
1179,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,60,2,NA,NA,NA,NA,NA,NA
1181,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,NA,1,NA,56,NA,42,16,1,20,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183,NA,1,NA,40,NA,16,31,1,2,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,34,14
1184,NA,1,NA,43,NA,31,40,1,6,1,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,30,84,NA,NA,NA,NA,NA,NA,NA
1185,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1186,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,NA,1,NA,60,NA,1,25,1,360,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,NA,1,NA,40,NA,37,14,1,60,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1192,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,28,600,2,NA,NA,NA,NA,NA,NA
1193,NA,1,NA,27,1,1,26,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,31,84,NA,NA,NA,NA,NA,NA,NA
1194,NA,1,NA,60,NA,32,1,5,24,2,1,9,1,2,1,1,1,2,NA,NA,NA,1,1,3,NA,1,29,84,NA,1,3,1,NA,NA,NA
1195,NA,1,NA,40,NA,38,7,2,120,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1196,NA,1,NA,40,NA,41,5,1,240,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,33,108,1,1,8,1,NA,NA,NA
1201,NA,1,NA,40,NA,42,13,1,8,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202,NA,1,NA,40,NA,44,12,4,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,12,240,NA,NA,NA,NA,NA,NA,NA
1203,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,23,420,1,1,10,1,NA,NA,NA
1205,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,NA,1,NA,40,NA,4,36,4,180,1,2,NA,1,2,2,1,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210,NA,1,NA,80,NA,42,7,5,72,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
1211,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,300,1,2,NA,NA,NA,NA,NA
1213,NA,1,NA,33,2,25,11,1,7,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,NA,1,NA,32,1,15,34,1,6,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,24,60,NA,NA,NA,NA,NA,NA,NA
1220,NA,1,NA,40,NA,9,40,1,3,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,40,12,NA,NA,NA,NA,NA,NA,NA
1221,NA,1,NA,40,NA,38,14,1,300,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,NA,1,NA,20,2,2,27,1,0,2,2,NA,1,2,2,1,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1223,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1226,NA,1,NA,50,NA,31,10,1,300,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227,NA,1,NA,45,NA,14,1,1,216,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1229,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,120,2,NA,NA,NA,NA,NA,NA
1230,NA,1,NA,25,2,27,21,1,7,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1231,NA,1,NA,35,NA,41,7,3,5,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232,NA,1,NA,25,2,42,13,1,18,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1234,NA,1,NA,45,NA,11,1,1,48,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,120,NA,NA,NA,NA,NA,NA,NA
1236,NA,1,NA,40,NA,10,33,1,24,1,2,NA,1,2,2,1,NA,NA,NA,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1237,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,36,2,NA,NA,NA,NA,NA,NA
1239,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14,84,2,NA,NA,NA,NA,NA,NA
1240,NA,3,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,98,72,1,1,8,2,NA,NA,NA
1241,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,37,0,2,NA,NA,NA,4,NA,NA
1242,NA,1,NA,40,NA,27,20,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,NA,1,NA,40,NA,37,12,1,156,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,98,480,1,1,8,1,NA,NA,NA
1245,NA,1,NA,50,NA,40,5,3,144,1,2,NA,1,2,1,1,1,NA,NA,NA,NA,1,2,NA,NA,1,7,180,NA,1,7,1,NA,NA,NA
1246,NA,1,NA,40,NA,25,9,5,84,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,240,NA,NA,NA,NA,NA,NA,NA
1249,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251,NA,1,NA,50,NA,21,38,1,360,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252,NA,1,NA,55,NA,42,11,1,252,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253,NA,1,NA,60,NA,31,1,1,0,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,84,2,NA,NA,NA,NA,NA,NA
1257,NA,1,NA,27,1,40,5,1,276,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,420,2,NA,NA,NA,NA,NA,NA
1262,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,504,2,NA,NA,NA,NA,NA,NA
1263,NA,1,NA,20,2,26,11,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,360,NA,NA,NA,NA,NA,NA,NA
1264,NA,1,NA,30,2,40,1,1,24,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,5,180,NA,NA,NA,NA,4,NA,NA
1267,NA,1,NA,65,NA,37,8,1,2,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,11,18,NA,NA,NA,NA,NA,NA,NA
1268,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,456,2,NA,NA,NA,NA,NA,NA
1269,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270,NA,1,NA,60,NA,34,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
1272,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1273,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,108,2,NA,NA,NA,NA,NA,NA
1274,NA,1,NA,40,NA,40,5,4,180,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1275,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1276,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,99999,1,1,3,1,NA,NA,NA
