"seqn","fsd010","fsd160","fsd170n","fsd180","fsd190","fsd200","fsd655","fsd660c","fsd665","fsq650","fsd660m","fsd670","hhfdsec","adfdsec","chfdsec"
28,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
29,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
30,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,1,4,1,12,1,NA,NA,NA,1,1,2,1,1,1
32,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
33,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
34,3,2,1,1,12,2,NA,NA,NA,NA,NA,NA,3,2,2
35,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
36,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
37,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
40,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
41,1,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,1
42,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
43,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
45,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
47,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
48,2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,1
49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
50,2,1,1,2,NA,NA,1,1,4,NA,NA,NA,2,2,1
51,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1
52,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
53,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
54,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
55,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
56,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
57,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
58,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
59,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,2,2,1
62,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
63,3,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,3,3,3
64,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
65,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
66,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
67,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
68,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
69,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
70,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,3
71,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
72,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
73,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
74,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3
75,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
76,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
77,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
78,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
79,1,1,6,1,NA,NA,1,1,5,NA,NA,NA,1,1,1
80,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
81,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
82,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
83,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
85,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
86,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
87,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
88,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
89,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
90,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
91,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
92,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
93,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
94,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
95,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
96,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
97,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
98,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
99,3,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,4,4,2
100,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
101,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
102,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
103,2,1,1,2,NA,NA,1,1,6,NA,NA,NA,2,2,1
104,2,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,4,4,3
105,1,1,4,1,12,1,NA,NA,NA,1,1,3,2,2,2
106,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
107,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
108,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
109,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
110,1,2,5,1,1,1,NA,NA,NA,NA,NA,NA,3,3,3
111,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
112,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
113,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
114,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
115,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
116,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
117,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
118,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
119,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
120,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
121,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
122,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
123,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
124,2,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
125,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
126,3,1,1,1,3,2,NA,NA,NA,1,1,1,4,4,3
127,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
128,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
129,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
130,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
131,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
132,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
133,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
134,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
135,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
136,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
137,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
138,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
139,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
140,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
141,2,1,1,1,12,1,NA,NA,NA,NA,NA,NA,2,1,2
142,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
143,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,3
144,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
145,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
146,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
147,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
148,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
149,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
150,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
151,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
152,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
153,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
154,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
155,3,2,NA,NA,NA,NA,1,2,6,NA,NA,NA,4,4,3
156,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
157,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
158,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
159,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
160,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
161,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
162,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
163,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
164,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
165,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
166,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
167,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
168,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
169,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1
170,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
171,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
172,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
173,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
174,1,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,1
175,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
176,2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,1,3
177,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
178,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
179,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
180,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
181,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
182,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3
183,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
184,1,1,1,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
185,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
186,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
187,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
188,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
189,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
190,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
191,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
192,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
193,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
194,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
195,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
196,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
197,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
198,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
199,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
200,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
201,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
202,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
203,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4
204,2,1,5,1,3,1,NA,NA,NA,NA,NA,NA,3,3,2
205,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
206,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
207,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
208,2,1,1,2,NA,NA,1,1,4,NA,NA,NA,4,3,3
209,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
210,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
211,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
212,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
213,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
216,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
217,2,1,1,2,NA,NA,NA,NA,NA,1,1,3,3,3,2
218,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
219,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
220,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
221,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
222,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
223,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
224,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
225,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
226,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
227,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
228,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
229,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
230,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
233,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
234,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
235,1,1,NA,NA,NA,NA,1,2,5,NA,NA,NA,1,1,1
236,2,2,1,1,12,1,NA,NA,NA,NA,NA,NA,3,3,3
237,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
238,2,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,1
239,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
240,2,1,NA,NA,NA,NA,1,1,3,NA,NA,NA,2,1,2
241,1,1,1,2,NA,NA,1,1,1,NA,NA,NA,2,2,1
242,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3
243,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
244,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
245,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
246,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
247,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
248,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
249,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
250,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
251,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
252,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
253,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
254,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
257,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
258,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
259,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
260,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
261,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
262,2,1,1,2,NA,NA,1,1,1,NA,NA,NA,1,1,1
263,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
264,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
265,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
266,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
267,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
268,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
269,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
270,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
271,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
272,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
273,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
274,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
275,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
276,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
277,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
278,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
279,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
280,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
281,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
282,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
283,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
284,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
285,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA
286,1,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,1
287,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
288,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
289,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
290,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
291,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
292,1,2,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
293,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
294,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
295,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1
296,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
297,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
298,3,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,4,3,4
299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
300,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1
301,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
302,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
303,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
304,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
305,1,2,NA,NA,NA,NA,1,2,6,NA,NA,NA,1,1,1
306,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
307,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
308,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,1
309,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
310,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
311,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
312,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
313,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
314,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
315,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
316,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
317,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
318,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1
319,3,1,1,1,NA,NA,1,1,2,NA,NA,NA,3,2,2
320,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
321,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
324,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
325,2,1,1,2,NA,NA,1,1,2,NA,NA,NA,3,3,2
326,1,2,NA,NA,NA,NA,1,2,5,NA,NA,NA,1,1,1
327,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
328,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
329,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1
330,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
331,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
