"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
54644,1,2,2,2,2,2,2,2,2,9,2.72,3,NA,NA
54645,2,1,1,2,2,2,2,2,2,9,4.12,3,NA,NA
54646,2,2,1,2,2,2,2,1,2,4,1.24,1,1,NA
54647,2,2,2,2,2,2,2,2,1,1,0,1,2,1
54648,1,2,2,2,2,2,2,2,2,7,1.74,2,NA,NA
54649,1,2,2,2,2,2,2,2,2,4,0.7,1,2,1
54650,1,2,2,2,2,2,2,2,2,5,1.52,2,2,1
54651,1,1,2,2,2,2,2,2,2,11,4.35,3,NA,NA
54652,2,2,1,2,1,2,2,1,2,8,2.18,3,NA,NA
54653,1,2,2,2,2,2,2,1,2,11,3.16,3,NA,NA
54654,9,1,2,2,2,2,2,1,2,7,1.63,2,7,NA
54655,1,2,2,2,2,2,2,2,2,3,0.47,1,2,1
54656,1,2,2,2,2,2,2,2,2,5,0.93,1,2,1
54657,1,2,2,2,2,2,2,2,2,5,0.93,1,2,1
54658,1,2,2,2,2,2,2,2,2,11,3.05,3,NA,NA
54659,1,1,2,2,2,2,2,2,2,7,1.3,1,2,1
54660,1,2,2,2,2,2,2,1,2,8,3.71,3,NA,NA
54661,1,2,2,2,2,2,2,2,2,8,4.43,3,NA,NA
54662,1,2,2,2,2,2,1,2,2,7,1.03,1,2,1
54663,2,2,1,2,2,2,2,2,2,3,1.02,1,2,1
54664,1,2,2,2,2,2,2,2,2,99,NA,9,2,1
54665,1,2,2,2,2,2,2,2,2,6,1.84,2,2,1
54666,1,2,2,2,2,2,2,2,2,9,4.12,3,NA,NA
54667,2,2,2,2,2,2,2,2,2,1,0.01,1,2,1
54668,1,2,2,2,2,2,2,2,2,8,3.46,3,NA,NA
54669,1,1,1,2,1,2,2,1,2,7,3.32,3,NA,NA
54670,1,2,2,2,2,2,2,2,2,7,2.88,3,1,NA
54671,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
54672,1,2,2,2,2,2,2,2,2,10,2.79,3,NA,NA
54673,1,2,2,2,2,2,2,1,2,10,4.53,3,NA,NA
54674,1,2,2,2,2,2,2,1,2,8,2.29,3,NA,NA
54675,1,2,2,2,2,2,2,2,1,11,5,3,NA,NA
54676,1,2,2,2,2,2,2,2,2,99,NA,9,2,99
54677,2,1,2,2,2,2,2,1,1,1,0,1,NA,NA
54678,1,2,2,2,2,2,2,2,2,5,0.93,1,2,1
54679,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
54680,1,2,2,2,2,2,2,2,1,6,1.14,1,2,1
54681,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
54682,1,2,2,2,2,2,2,2,2,99,NA,9,NA,NA
54683,1,2,1,2,2,2,2,1,2,7,1.22,1,NA,NA
54684,1,2,2,1,2,2,2,2,1,6,0.79,1,2,1
54685,1,2,2,2,2,2,2,9,2,NA,NA,NA,NA,NA
54686,1,2,2,2,2,2,2,2,2,5,0.93,1,2,2
