"seqn","cbd010","cbq020","cbq030","cbq040","cbq050","cbq060","cbd070","cbd090","cbd110","cbd120","cbd130","cbq140","cbd150","cbd160","cbd170","cbd180","cbq190"
51755,2,1,1,3,5,2,300,60,0,0,40,1,5,7,30,7,7
51756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51757,2,2,1,2,1,4,700,0,0,40,25,2,5,7,60,7,7
51758,2,1,2,1,1,4,550,75,20,100,50,2,3,6,40,14,13
51759,2,1,1,3,1,5,400,0,0,120,0,2,5,7,120,7,7
51760,1,2,1,2,5,2,500,0,0,40,0,4,5,5,120,666,NA
51761,2,4,5,3,5,2,300,0,0,40,20,2,7,7,120,7,7
51762,2,1,1,1,5,2,500,0,0,40,40,4,5,7,45,21,21
51763,2,2,1,3,2,1,300,0,50,300,40,3,20,7,40,6,6
51764,2,2,2,2,5,4,150,20,0,64,0,3,10,6,60,666,NA
51765,2,1,1,1,1,1,600,107,0,342,85,3,10,4,45,4,4
51766,2,2,2,2,1,2,500,0,0,300,0,2,10,4,120,0,NA
51767,2,1,2,2,2,2,257,0,15,50,0,2,5,6,60,4,4
51768,2,2,2,2,5,1,200,0,0,150,0,2,10,2,60,2,2
51769,2,1,2,1,5,1,600,80,80,200,100,5,2,7,90,6,6
51770,2,1,1,1,4,1,857,214,0,200,0,2,5,7,60,21,21
51771,2,1,1,1,5,1,500,150,5,100,20,2,10,7,60,4,4
51772,1,1,5,1,5,1,300,100,0,200,40,2,10,3,90,21,21
51773,1,1,1,1,5,1,300,10,500,1157,100,3,10,4,90,5,4
51774,2,2,1,1,5,5,150,0,0,400,0,3,10,0,NA,7,0
51775,NA,1,1,1,5,1,100,0,0,0,30,3,10,3,60,666,NA
51776,2,2,4,2,4,3,300,0,50,999999,999999,4,10,5,120,5,5
51777,2,2,1,1,3,2,350,100,0,100,0,2,10,5,60,666,NA
51778,2,1,1,3,5,2,10,999999,225,25,0,2,20,7,60,21,21
51779,2,1,1,3,5,1,400,0,150,0,0,3,15,7,180,7,7
51780,2,1,1,1,1,1,400,20,200,300,40,3,20,3,30,5,5
51781,2,1,1,1,1,1,150,0,0,500,0,2,5,1,45,7,2
51782,2,1,1,1,5,1,400,0,0,50,50,4,10,6,120,6,6
51783,1,2,2,3,5,3,150,0,10,30,0,4,5,7,60,7,7
51784,2,1,1,3,1,1,500,0,0,100,60,1,15,6,60,7,6
51785,2,1,1,1,5,1,700,80,120,60,0,3,60,7,75,7,7
51786,2,3,2,2,5,4,400,20,20,100,50,3,2,4,30,7,4
51787,1,1,1,4,1,5,1000,0,0,0,0,2,10,5,120,7,7
51788,2,1,1,1,5,2,350,0,0,0,0,3,3,7,180,14,14
51789,2,1,1,1,2,2,200,0,0,75,0,2,5,0,NA,7,0
51790,2,1,1,1,5,2,200,0,0,0,0,2,60,7,60,21,21
51791,2,3,2,4,5,4,150,0,150,20,0,3,20,7,60,14,14
51792,2,1,1,2,5,3,1285,192,214,214,0,1,15,7,120,7,7
51793,1,2,2,3,2,5,200,0,50,150,20,2,5,4,30,666,NA
51794,2,2,2,2,1,4,400,50,0,50,0,2,5,5,120,5,5
51795,2,1,1,3,1,3,450,0,125,25,50,4,20,7,120,7,7
51796,2,1,2,1,1,1,600,100,0,100,15,3,20,6,90,4,4
51797,2,1,1,1,1,1,700,0,400,200,40,2,2,5,60,7,5
51798,2,1,2,1,1,1,999999,999999,0,250,0,2,10,7,60,9,9
51799,2,3,3,4,3,3,428,128,128,128,0,2,15,3,30,666,NA
51800,2,1,3,1,1,4,600,0,0,50,0,3,40,6,60,7,7
51801,2,1,2,3,4,2,300,50,50,300,150,1,10,0,NA,666,NA
51802,2,1,1,4,5,3,857,428,0,0,0,2,5,7,15,7,7
51803,2,5,5,3,5,4,45,0,0,0,0,4,15,4,30,666,NA
51804,2,1,1,2,1,1,642,107,150,55,30,1,15,7,90,21,21
51805,2,1,3,4,3,1,200,0,110,20,0,3,45,4,120,7,7
51806,2,4,3,4,5,5,999999,999999,0,0,0,6,15,7,120,666,NA
51807,2,1,1,1,1,3,428,0,0,999999,0,2,5,7,120,7,7
51808,2,1,1,2,5,1,200,20,50,20,50,4,45,3,120,3,3
51809,2,1,2,1,5,5,600,50,0,150,50,2,5,7,90,7,7
51810,2,1,3,1,1,2,400,0,20,150,0,2,5,6,60,19,19
51811,2,2,2,3,2,3,1100,0,0,40,0,1,15,4,180,4,4
51812,2,1,1,1,5,2,400,0,0,100,0,2,15,7,60,7,7
51813,1,1,3,2,1,5,642,85,0,642,0,2,2,5,60,7,7
51814,2,4,1,1,5,1,85,0,500,60,0,3,45,7,60,7,7
51815,2,1,1,1,1,4,535,128,0,100,0,2,15,7,90,7,7
51816,2,2,2,2,4,1,200,0,10,85,0,4,3,6,60,0,NA
51817,2,1,2,4,1,5,150,0,0,0,0,3,10,5,60,666,NA
51818,2,1,1,1,5,2,500,0,0,500,160,2,5,4,180,14,14
51819,2,1,1,1,1,5,300,0,0,57,0,1,10,5,30,0,NA
51820,NA,1,1,1,5,5,600,50,0,48,0,2,10,7,120,666,NA
51821,2,4,4,4,5,1,300,0,100,300,0,3,5,0,NA,0,NA
51822,2,1,1,1,5,2,257,10,0,128,85,2,5,1,30,666,NA
51823,2,1,2,3,5,2,100,0,150,40,20,2,15,6,60,5,4
51824,1,2,2,3,5,3,300,20,40,257,42,3,15,4,60,7,4
51825,2,2,1,1,5,1,300,0,0,80,0,3,20,0,NA,666,NA
51826,2,1,1,2,5,2,400,0,85,0,0,2,15,7,120,7,7
51827,2,1,2,2,5,1,400,0,30,50,24,4,10,7,120,4,4
51828,2,3,3,3,5,5,200,0,0,0,0,3,20,4,60,3,3
51829,2,1,2,1,1,4,550,75,20,100,50,2,3,6,40,14,13
51830,2,1,1,3,5,5,857,214,0,50,0,2,30,5,120,7,5
51831,2,1,1,1,5,3,0,0,600,400,150,2,5,7,60,7,7
51832,2,1,4,2,5,4,600,0,0,100,0,2,15,7,120,7,7
51833,1,2,2,2,5,1,100,0,0,70,30,2,30,5,60,5,5
51834,2,2,1,2,5,2,240,80,60,0,0,3,60,7,30,5,5
51835,2,1,1,3,5,1,400,0,0,60,0,2,10,7,120,7,7
51836,1,1,1,1,5,1,200,30,0,100,0,3,10,5,30,5,5
51837,2,1,1,1,5,1,1071,0,0,27,0,3,15,7,180,7,7
51838,2,1,1,2,1,4,500,0,0,100,107,2,15,7,60,7,7
51839,2,1,3,1,5,1,300,0,0,150,30,3,15,5,60,0,NA
51840,2,2,2,4,4,4,400,0,315,70,60,2,20,6,90,21,21
51841,2,2,1,1,5,3,514,128,40,428,0,3,10,2,60,7,0
51842,2,3,1,3,5,1,350,0,0,30,0,1,2,7,90,7,7
51843,2,1,1,1,1,1,500,100,100,0,20,2,5,7,90,7,7
51844,1,1,1,1,5,5,200,0,0,60,50,3,10,7,60,4,4
51845,2,3,2,2,5,2,60,20,300,50,0,3,25,4,60,11,11
51846,2,1,1,1,1,1,428,85,0,300,0,2,45,5,90,4,4
51847,2,1,4,3,1,3,300,0,0,60,0,1,5,7,60,5,5
51848,2,2,2,1,2,2,350,0,580,80,150,3,5,4,60,10,10
51849,2,1,1,1,5,4,642,35,0,0,0,2,15,7,90,7,7
51850,2,1,1,3,5,3,400,0,0,50,0,1,20,6,60,6,6
51851,2,1,1,3,5,5,900,30,0,0,0,3,35,7,120,7,7
51852,2,1,1,1,5,1,788,0,0,20,0,4,20,7,120,7,7
51853,2,2,2,2,1,4,400,50,0,50,0,2,5,5,120,5,5
51854,2,1,1,3,5,3,85,0,0,0,0,1,10,7,99999,666,NA
51855,2,3,3,3,5,3,300,0,0,0,0,3,30,7,99999,7,7
51856,2,1,1,5,5,1,250,0,600,270,20,3,30,6,120,5,5
51857,2,1,2,2,4,2,857,128,428,150,60,2,15,3,60,2,2
51858,2,1,1,5,1,5,300,0,0,0,0,2,30,7,60,7,7
51859,2,1,1,3,2,1,200,0,750,20,25,1,15,4,60,2,2
51860,2,2,1,3,2,1,300,0,50,300,40,3,20,7,40,6,6
51861,1,1,1,1,5,1,500,0,0,50,0,4,90,7,45,7,7
51862,2,2,2,2,1,3,500,40,125,100,0,3,20,4,60,7,7
51863,2,3,2,5,5,1,250,0,0,0,20,3,10,2,240,0,NA
51864,2,1,1,1,5,1,400,0,0,200,0,3,10,3,60,4,4
51865,1,3,1,2,5,2,0,0,400,200,50,3,10,5,90,6,6
51866,2,2,3,1,5,1,428,0,100,21,0,2,5,7,60,10,7
51867,2,1,2,2,1,3,857,128,214,128,128,2,10,6,60,11,9
51868,2,2,3,2,3,4,75,0,60,300,0,2,2,2,30,666,NA
51869,1,1,1,1,1,1,700,50,0,771,50,3,10,4,120,10,8
51870,2,1,2,3,5,2,400,0,75,20,0,3,5,4,45,2,2
51871,2,1,1,3,5,77,777777,777777,777777,777777,777777,77,77777,777,77777,777,NA
51872,1,1,2,4,5,1,700,0,100,999999,999999,1,5,7,60,7,7
51873,1,3,1,2,5,2,0,0,400,200,50,3,10,5,90,6,6
51874,NA,2,1,3,5,1,642,128,0,150,128,2,5,7,45,666,NA
51875,2,1,1,4,3,5,342,21,20,0,0,3,10,7,180,1,1
51876,1,1,1,1,1,1,500,0,0,60,60,2,15,7,60,7,7
51877,2,2,2,3,5,4,500,50,200,200,50,4,10,2,15,0,NA
51878,2,1,1,4,5,4,150,20,0,60,0,1,5,5,90,14,14
51879,2,2,1,3,5,1,732,0,0,30,23,3,5,7,45,21,20
51880,2,1,2,1,5,1,642,85,428,20,0,2,10,7,90,7,7
51881,2,1,2,2,5,4,240,0,100,25,0,2,10,7,90,7,7
51882,2,1,1,1,5,3,450,0,0,857,0,2,5,7,60,7,7
51883,1,1,1,3,4,4,300,0,300,0,20,3,5,7,60,5,5
51884,2,1,1,1,5,1,500,30,0,30,50,4,30,2,120,2,2
51885,1,1,1,1,5,2,1071,74,100,200,120,2,10,7,120,7,7
51886,2,1,1,4,3,2,342,0,0,50,0,2,5,7,40,7,7
51887,2,1,1,1,1,1,900,200,300,999999,107,2,5,7,120,3,3
51888,1,1,1,3,1,5,400,25,40,0,50,2,20,7,90,21,21
51889,2,1,1,1,5,2,300,50,45,25,25,4,15,4,60,666,NA
51890,2,1,1,1,1,1,400,100,100,20,20,3,30,7,60,14,14
51891,2,1,1,2,5,5,1285,0,0,75,0,2,10,7,60,7,7
51892,2,1,1,4,5,1,200,0,0,0,0,1,15,7,120,6,6
51893,2,1,1,4,5,4,450,120,0,120,150,2,10,5,60,5,5
51894,2,1,1,1,5,5,600,0,0,90,100,2,20,5,90,5,5
51895,2,1,1,1,5,1,100,0,0,125,0,3,10,7,45,7,7
