"seqn","fsd032a","fsd032b","fsd032c","fsd041","fsd052","fsd061","fsd071","fsd081","fsd092","fsd102","fsd032d","fsd032e","fsd032f","fsd111","fsd122","fsd132","fsd141","fsd146","fsdhh","fsdad","fsdch","fsd151","fsd401","fsd421","fsd431","fsd411","fsd440","fsd451","fsq165","fsq171","fsd225","fsq235","fsq162","fsd650zc","fsd660zc","fsd675","fsd680","fsd670zc","fsq690","fsq695","fsd650zw","fsd660zw","fsd670zw"
51674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51675,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51676,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51677,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51678,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51679,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,55555,99999,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51680,2,2,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,2,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51681,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,98,350,1,2,NA,1,2,12,1,1,NA,NA,NA
51682,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,0,9,NA,NA,NA,NA
51683,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
51684,2,2,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,1,3,3,3,3,NA,NA,1,1,12,526,1,1,1,1,1,48,1,5,NA,NA,NA
51685,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51686,1,2,1,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,1,1,6,540,1,1,1,1,1,21,2,NA,NA,NA,NA
51687,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51688,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,2,NA,0,2,NA,NA,NA,NA
51689,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,48,1,6,NA,NA,NA
51690,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51691,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51692,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51693,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51694,1,1,3,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,2,1,2,2,3,3,3,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51695,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,2,10,1,3,NA,NA,NA
51696,2,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,2,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51697,1,1,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,2,3,3,3,2,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51698,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,24,1,6,NA,NA,NA
51699,2,2,2,1,3,1,1,1,1,3,2,3,2,2,1,3,2,2,4,4,3,2,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51700,2,2,2,2,NA,2,2,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,2,3,2,3,3,NA,2,2,NA,NA,NA,2,NA,NA,1,1,12,1,1,NA,NA,NA
51701,1,1,2,1,1,1,1,1,2,NA,3,3,3,NA,NA,NA,NA,NA,4,4,1,2,3,3,3,3,2,NA,1,1,9,300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51702,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51703,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51704,1,1,1,2,NA,2,2,2,NA,NA,2,3,3,2,2,NA,2,2,3,3,2,1,3,3,3,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51705,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51706,2,3,3,1,2,2,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,1,3,3,3,3,NA,NA,1,1,9,394,1,1,1,2,1,12,2,NA,NA,NA,NA
51707,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51708,1,3,1,1,2,1,2,2,2,NA,1,1,3,1,2,NA,2,2,4,3,3,2,2,2,3,2,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51709,1,1,2,2,NA,2,2,2,NA,NA,1,2,3,2,2,NA,2,2,3,3,3,2,3,3,3,3,2,NA,1,1,24,493,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51711,2,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,9,9,9,9,9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51712,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51713,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51714,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51715,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
