"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
101848,1,2,2,2,2,2,2,2,2,4,0.95,1,2,1,1
101849,1,2,2,2,2,2,2,2,2,7,1.33,2,2,1,1
101850,1,2,2,2,2,2,2,2,2,11,5,3,2,3,1
101851,1,2,2,2,2,2,2,2,2,4,1.58,2,2,1,1
101852,1,2,2,2,2,2,2,2,2,7,0.92,1,2,3,1
101853,1,2,2,2,2,2,1,2,2,1,0,1,2,1,1
101854,1,2,2,2,2,2,2,2,2,6,1.22,1,2,2,1
101855,1,1,2,1,2,2,2,2,1,5,1.18,1,2,1,1
101856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101857,1,1,2,2,2,2,2,2,2,8,1.53,2,1,NA,1
101858,1,2,2,2,2,2,2,2,2,7,0.79,1,2,1,1
101859,2,2,1,2,2,1,2,2,2,2,0.78,1,2,1,3
101860,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
101861,1,2,2,2,2,2,2,1,1,12,5,3,1,NA,1
101862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101863,1,2,2,2,2,2,2,2,2,8,1.1,1,2,1,1
101864,1,2,1,2,1,2,2,2,2,99,NA,2,2,2,1
101865,2,2,1,2,2,2,2,2,2,4,1.34,2,2,1,3
101866,1,1,2,2,2,2,2,2,2,6,1.6,2,2,1,2
101867,1,2,2,2,2,2,2,2,2,8,2.1,3,2,1,1
101868,1,2,2,2,2,2,2,2,2,6,1.24,1,2,1,1
101869,1,1,2,2,2,2,2,2,2,5,1.18,1,2,1,1
101870,1,2,1,2,1,2,2,1,2,10,3.99,3,1,NA,1
101871,1,2,2,2,2,2,2,2,1,3,1.19,1,2,1,2
101872,1,1,2,2,2,2,2,2,1,9,1.75,2,2,5,1
101873,1,2,1,2,2,1,2,2,2,11,2.2,3,2,1,1
101874,1,2,1,2,1,2,2,1,2,12,5,3,1,NA,1
101875,1,2,2,2,2,2,2,1,2,11,4.33,3,1,NA,1
101876,1,2,1,2,2,2,2,2,1,10,3.46,3,2,4,1
101877,1,2,2,2,2,2,2,1,2,10,2.63,3,1,NA,1
101878,1,2,2,2,2,2,2,2,2,11,3.9,3,2,2,2
101879,1,2,2,2,2,2,2,2,2,6,2.59,3,2,1,1
101880,1,2,9,2,2,2,1,9,2,99,NA,1,2,99,6
101881,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,9
101882,1,2,1,2,2,2,2,2,2,6,0.72,1,2,1,1
101883,2,2,1,2,1,2,2,1,2,99,NA,3,1,NA,1
101884,1,1,1,2,1,2,2,1,2,11,5,3,1,NA,1
101885,1,2,2,2,2,2,2,1,2,99,NA,2,1,NA,1
101886,2,2,2,2,2,2,2,2,1,11,5,3,1,NA,1
101887,1,2,2,2,2,2,2,2,1,7,1.43,2,2,1,1
101888,1,1,2,2,2,2,2,1,2,7,2.22,3,1,NA,1
101889,1,1,2,2,2,2,2,2,2,10,3.46,3,1,NA,1
101890,1,2,2,2,2,2,2,1,1,7,1.53,2,2,1,1
101891,2,2,1,2,2,1,2,2,2,5,1.24,1,2,1,3
101892,1,2,1,2,2,2,2,2,1,7,1.66,2,2,1,1
101893,1,2,2,1,2,2,2,2,2,99,NA,1,2,1,1
101894,1,2,2,2,2,2,2,2,2,4,0.57,1,2,1,7
101895,1,2,2,2,1,2,2,2,1,6,1.22,1,2,1,1
101896,1,2,2,2,2,2,2,2,1,6,1.21,1,2,1,1
101897,1,1,2,2,2,2,2,1,1,12,5,3,1,NA,1
101898,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
101899,1,1,2,2,2,2,2,2,2,3,1.19,1,2,1,6
101900,1,2,2,2,2,2,2,1,2,8,1.45,2,2,1,1
101901,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,9
101902,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,1
101903,1,1,2,2,2,2,2,2,2,99,NA,9,2,99,1
