"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
83926,1,2,1,2,1,2,2,1,2,8,3,3,1,NA,1
83927,1,2,1,2,2,2,2,2,1,11,4.94,3,2,1,1
83928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83929,2,1,2,2,2,2,2,2,2,3,0.37,1,2,1,1
83930,1,2,2,2,2,2,2,2,2,4,0.84,1,2,1,1
83931,1,2,2,2,2,2,2,2,1,5,1.13,1,2,1,2
83932,2,2,1,2,1,2,2,1,2,8,3.01,3,1,NA,1
83933,1,2,2,2,2,2,1,2,2,8,1.69,2,2,1,1
83934,1,2,2,2,2,2,2,2,2,3,0.82,1,2,1,1
83935,1,1,2,2,2,2,2,2,2,10,2.32,3,2,1,1
83936,1,1,2,2,2,2,2,1,2,99,NA,3,1,NA,1
83937,1,2,1,2,1,1,2,2,2,9,2.11,3,1,NA,1
83938,1,2,2,2,2,2,2,2,2,11,3.51,3,2,1,1
83939,1,1,2,2,2,2,2,1,2,7,1.48,2,2,5,1
83940,1,2,2,2,2,2,2,2,2,2,0.3,1,2,1,1
83941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83942,1,1,2,2,2,2,2,1,1,12,5,3,1,NA,1
83943,1,2,2,2,2,2,2,2,2,4,0.49,1,2,1,1
83944,2,2,1,2,2,1,2,2,2,3,0.65,1,2,1,1
83945,1,1,2,2,2,2,2,2,2,8,1.69,2,2,2,1
83946,1,2,2,2,2,2,2,1,2,10,2.97,3,2,5,1
83947,1,2,2,2,2,2,2,2,2,8,2.12,3,2,1,1
83948,1,2,2,2,2,2,2,2,2,5,0.74,1,2,1,1
83949,2,2,1,2,2,2,2,1,2,2,0.51,1,2,1,3
83950,2,1,1,2,2,1,2,2,2,2,0.65,1,2,1,2
83951,1,2,1,1,1,2,2,2,2,5,1.19,1,2,1,1
