"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
50831,1,48,NA,14,14,1,3,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50832,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,360,NA,NA,NA,NA,NA,NA,NA,NA
50833,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50835,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,15,144,2,NA,2,NA,2,NA,2,NA
50837,1,62,NA,21,4,4,1,8,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50838,1,52,NA,5,1,5,1,384,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50841,1,32,2,14,14,1,3,4,1,3,NA,1,6,22,36,2,NA,2,NA,2,NA,2,NA
50842,1,40,NA,10,17,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50845,1,50,NA,8,16,1,4,12,2,NA,NA,1,8,16,204,2,NA,2,NA,2,NA,2,NA
50849,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,4,420,2,NA,2,NA,2,NA,2,NA
50850,1,38,NA,11,17,1,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50851,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,21,18,2,NA,2,NA,2,NA,2,NA
50852,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,18,13,48,2,NA,2,NA,2,NA,2,NA
50855,1,18,2,15,8,1,1,528,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50856,1,61,NA,5,21,1,2,144,2,NA,NA,2,NA,NA,NA,1,33,1,2,1,1,1,12
50857,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,20,648,1,54,2,NA,2,NA,2,NA
50858,1,25,2,8,16,1,1,5,2,NA,NA,1,19,15,240,2,NA,2,NA,2,NA,2,NA
50859,1,30,1,4,1,1,1,240,1,1,NA,2,NA,NA,NA,1,33,1,25,1,5,1,5
50860,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50861,1,40,NA,15,8,4,1,12,2,NA,NA,2,NA,NA,NA,2,NA,1,8,2,NA,2,NA
50862,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,10,17,5,2,NA,1,1,1,1,2,NA
50864,1,40,NA,17,15,1,3,84,2,NA,NA,1,5,20,228,2,NA,1,19,1,19,1,34
50865,1,36,NA,8,17,3,1,2,2,NA,NA,1,12,17,12,1,3,1,2,1,1,2,NA
50866,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,120,2,NA,2,NA,2,NA,2,NA
50868,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,2,360,1,1,1,1,2,NA,2,NA
50869,1,25,1,11,17,1,4,48,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50871,1,52,NA,8,16,1,4,96,2,NA,NA,2,NA,NA,NA,1,7,2,NA,2,NA,2,NA
50872,1,82,NA,21,12,4,5,84,1,3,NA,2,NA,NA,NA,1,11,2,NA,1,4,1,4
50874,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,15,8,24,2,NA,2,NA,2,NA,2,NA
50875,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,18,13,480,2,NA,2,NA,2,NA,2,NA
50876,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,13,6,2,NA,2,NA,2,NA,2,NA
50877,1,40,NA,8,16,1,1,22,1,0,NA,1,8,16,28,1,2,2,NA,2,NA,2,NA
50878,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,21,84,2,NA,2,NA,2,NA,1,1
50879,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,1,240,1,14,2,NA,2,NA,2,NA
50880,1,50,NA,21,2,2,1,276,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50881,1,30,1,14,14,5,5,96,2,NA,NA,2,NA,NA,NA,1,8,1,8,1,7,1,10
50884,1,56,NA,4,19,1,1,24,2,NA,NA,1,1,18,348,1,32,1,29,1,30,2,NA
50887,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,408,NA,NA,NA,NA,NA,NA,NA,NA
50888,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,14,312,2,NA,2,NA,1,5,2,NA
50889,1,60,NA,8,21,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
