"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd392","ocd395"
31210,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,228
31211,1,20,2,18,13,1,2,4,2,NA,NA,2,NA,NA
31212,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,12,72
31213,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,120
31214,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,120
31220,1,48,NA,10,20,1,1,372,1,1,NA,2,NA,NA
31221,1,25,1,1,1,5,1,432,2,NA,NA,2,NA,NA
31223,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,480
31226,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14,12
31227,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,60
31228,1,40,NA,14,14,1,1,72,2,NA,NA,2,NA,NA
31231,1,35,NA,14,12,1,1,36,2,NA,NA,1,17,36
31232,1,32,1,8,13,1,2,120,2,NA,NA,2,NA,NA
31233,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,420
31235,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4
31239,1,15,2,17,9,1,4,72,2,NA,NA,2,NA,NA
31240,1,45,NA,15,1,1,1,36,2,NA,NA,2,NA,NA
31241,1,47,NA,14,20,1,3,24,2,NA,NA,1,19,120
31242,1,40,NA,13,16,1,1,1,2,NA,NA,1,5,240
31243,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,360
31244,2,NA,1,10,16,1,2,18,2,NA,NA,1,15,36
31245,1,25,2,8,16,1,2,0,2,NA,NA,2,NA,NA
31246,1,20,2,14,18,1,4,60,2,NA,NA,2,NA,NA
31248,1,45,NA,4,19,1,1,36,2,NA,NA,2,NA,NA
31249,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,16,12
31252,1,40,NA,10,3,1,2,24,2,NA,NA,2,NA,NA
31253,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,15,12
31254,1,50,NA,6,21,99,1,6,1,1,NA,1,19,84
31255,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
31257,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,480
31258,1,56,NA,5,22,1,1,1,2,NA,NA,1,21,7
31259,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,11,18
31261,2,NA,1,7,17,1,4,96,1,1,NA,1,17,108
31262,1,40,NA,5,19,1,1,180,1,8,NA,1,22,180
31263,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,60
31264,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,22,12
31265,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,11,7
31266,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,20,540
31268,1,3,2,14,14,1,1,6,2,NA,NA,1,11,24
31273,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,312
31274,1,40,NA,6,21,1,1,108,1,4,NA,1,21,180
31276,1,10,1,13,7,5,1,120,2,NA,NA,1,7,120
31277,1,50,NA,6,1,1,1,48,2,NA,NA,1,1,240
31278,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,228
31279,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA
31280,1,40,NA,16,17,1,1,60,2,NA,NA,2,NA,NA
31282,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,15,36
31284,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,660
31285,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,360
31286,1,16,1,4,19,1,1,3,2,NA,NA,1,21,48
31288,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
31289,1,18,2,18,13,1,1,1,2,NA,NA,2,NA,NA
31290,1,40,NA,99,98,1,1,168,1,8,NA,2,NA,NA
31291,1,40,NA,10,20,1,1,24,2,NA,NA,1,9,120
31294,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,180
31297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,360
31298,1,40,NA,16,11,1,1,36,2,NA,NA,2,NA,NA
31300,1,14,2,18,16,1,1,24,2,NA,NA,2,NA,NA
31301,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,84
31302,1,40,NA,8,16,1,1,11,1,1,NA,1,13,60
31303,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,6
31304,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,19,36
31305,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31307,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,300
31308,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,372
31309,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,21,120
31311,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,384
31314,1,72,NA,21,12,2,5,120,2,NA,NA,2,NA,NA
31317,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,21,24
31321,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,8
31323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,420
31324,1,48,NA,14,11,1,1,7,2,NA,NA,2,NA,NA
31325,1,25,2,10,22,1,3,18,1,1,NA,1,19,48
31330,1,20,2,15,17,1,1,18,2,NA,NA,1,22,12
31331,1,9,2,18,16,1,4,6,2,NA,NA,2,NA,NA
31332,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,264
31333,1,60,NA,16,11,1,4,5,2,NA,NA,1,9,96
31334,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,168
31336,1,45,NA,7,17,1,1,24,2,NA,NA,2,NA,NA
31337,1,60,NA,7,20,1,1,108,1,2,NA,2,NA,NA
31339,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,132
31341,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31343,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,180
31344,1,40,NA,13,8,1,5,1,2,NA,NA,1,8,372
31345,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA
31347,1,32,1,18,13,1,2,2,2,NA,NA,1,17,18
31348,1,40,NA,5,21,1,1,456,2,NA,NA,2,NA,NA
31350,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,36
31353,1,40,NA,4,22,4,1,5,2,NA,NA,1,20,264
31357,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,17,192
31358,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,180
31361,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,108
31363,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,22,96
31365,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31367,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,60
31368,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,384
31370,1,15,2,16,11,1,5,12,1,2,NA,2,NA,NA
31371,1,20,2,15,8,4,1,1,1,2,NA,2,NA,NA
31372,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,21,36
31373,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,22,12
31378,1,35,NA,16,11,1,1,0,2,NA,NA,1,8,24
31379,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,21,480
31380,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,276
31381,1,24,1,16,11,1,3,17,2,NA,NA,1,8,48
31382,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,144
31383,1,30,2,8,16,1,4,5,2,NA,NA,1,17,36
31386,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,216
31387,2,NA,2,18,13,1,5,1,2,NA,NA,1,14,18
31388,1,40,NA,11,17,1,1,204,2,NA,NA,2,NA,NA
31391,1,40,NA,8,21,1,1,252,2,NA,NA,2,NA,NA
31392,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,420
31393,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA
31394,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,13,24
31395,1,43,NA,6,22,1,1,9,1,8,NA,2,NA,NA
31396,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,36
31399,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,22,156
31400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,10,660
31403,1,4,2,4,17,1,4,2,2,NA,NA,1,15,36
31406,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
31407,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,312
31410,1,40,NA,9,22,1,4,96,2,NA,NA,2,NA,NA
31413,1,28,1,17,19,1,1,156,1,1,NA,2,NA,NA
31415,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
31416,2,NA,1,15,8,4,1,132,2,NA,NA,2,NA,NA
31420,1,40,NA,4,19,1,1,12,2,NA,NA,1,18,120
31425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,10,276
31426,1,8,2,19,16,1,1,12,2,NA,NA,2,NA,NA
31427,1,20,2,8,16,1,2,8,2,NA,NA,2,NA,NA
31429,1,35,NA,9,22,1,3,60,2,NA,NA,1,22,156
31430,1,30,2,10,17,1,1,0,1,1,NA,1,15,4
31431,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,12
31432,1,50,NA,15,1,4,1,36,2,NA,NA,1,8,168
31434,1,30,1,8,16,1,1,240,1,4,NA,2,NA,NA
31435,1,56,NA,14,12,1,5,14,1,1,NA,3,23,180
31437,1,55,NA,14,12,1,1,60,2,NA,NA,2,NA,NA
31439,1,30,2,10,9,1,1,48,2,NA,NA,2,NA,NA
31440,1,30,2,19,15,1,2,24,2,NA,NA,2,NA,NA
31441,1,60,NA,19,7,4,1,120,2,NA,NA,1,22,264
31442,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,300
31443,1,14,2,19,17,1,2,7,2,NA,NA,2,NA,NA
31444,1,75,NA,4,19,1,1,84,1,12,NA,2,NA,NA
31446,1,20,1,18,13,1,4,14,2,NA,NA,1,13,24
31447,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,600
31449,1,20,2,19,15,1,5,120,2,NA,NA,2,NA,NA
31451,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
31452,1,56,NA,16,11,5,1,24,2,NA,NA,1,1,120
31454,1,40,NA,6,21,1,2,7,2,NA,NA,1,20,288
31455,1,84,NA,6,21,1,4,60,1,1,NA,2,NA,NA
31457,1,35,NA,15,8,4,1,120,2,NA,NA,1,17,192
31460,1,44,NA,21,12,3,1,16,1,2,NA,1,12,60
31463,2,NA,1,16,11,1,3,24,2,NA,NA,1,14,180
31464,1,35,NA,8,10,1,1,576,2,NA,NA,2,NA,NA
31466,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,24
31468,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,312
31469,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,36
31470,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,12
31471,2,NA,1,8,17,1,1,96,2,NA,NA,1,16,96
31472,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,192
31477,1,40,NA,4,19,1,1,36,2,NA,NA,1,18,168
31480,1,20,2,18,16,1,3,24,2,NA,NA,2,NA,NA
31481,1,27,2,8,17,1,1,12,2,NA,NA,1,13,24
31482,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,19,3
31483,1,68,NA,9,3,1,5,324,2,NA,NA,2,NA,NA
31486,1,40,NA,14,14,1,1,168,2,NA,NA,2,NA,NA
31487,1,40,NA,19,16,1,2,48,1,1,NA,1,2,84
31488,1,50,NA,4,19,5,1,48,2,NA,NA,1,10,108
31491,1,66,NA,5,21,1,4,132,2,NA,NA,2,NA,NA
31492,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,9
31496,1,60,NA,15,12,4,1,3,2,NA,NA,1,17,60
31497,1,40,NA,19,15,1,1,36,2,NA,NA,1,21,240
31498,1,36,NA,18,13,1,1,36,2,NA,NA,2,NA,NA
31501,1,35,NA,18,13,1,2,2,1,1,NA,2,NA,NA
31502,1,40,NA,16,14,1,1,60,2,NA,NA,1,21,120
31503,1,40,NA,17,15,5,4,120,2,NA,NA,2,NA,NA
31504,1,40,NA,7,16,1,1,4,1,1,NA,1,5,132
31506,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,396
31508,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,144
31509,1,30,2,11,16,1,2,6,1,1,NA,1,12,96
31510,1,49,NA,19,21,1,1,48,1,1,NA,1,16,84
31512,1,40,NA,4,19,1,1,120,2,NA,NA,2,NA,NA
31513,1,36,NA,9,22,1,1,372,2,NA,NA,2,NA,NA
31514,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31515,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31517,1,32,1,9,17,2,1,48,1,1,NA,1,17,180
31518,1,35,NA,11,2,1,1,36,2,NA,NA,1,11,72
31519,1,52,NA,6,21,1,1,336,2,NA,NA,2,NA,NA
31520,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,22,120
31522,1,46,NA,5,20,1,3,60,2,NA,NA,2,NA,NA
31524,1,21,2,8,10,1,1,60,2,NA,NA,1,17,300
31525,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,24
31527,1,54,NA,4,19,5,1,96,1,9,NA,2,NA,NA
31528,1,40,NA,1,22,1,1,12,2,NA,NA,2,NA,NA
31529,1,60,NA,13,2,1,1,36,2,NA,NA,2,NA,NA
31530,1,40,NA,14,17,1,1,1,2,NA,NA,1,17,60
31531,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,72
31532,1,18,2,19,22,1,4,6,1,1,NA,1,22,3
31533,1,15,2,17,17,1,4,4,1,1,NA,1,16,12
31534,1,40,NA,18,13,1,4,36,1,8,NA,1,13,48
31535,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,36
31537,1,18,2,17,16,1,4,1,2,NA,NA,1,13,6
31539,1,12,2,18,17,1,5,3,2,NA,NA,2,NA,NA
31540,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
31542,2,NA,1,1,18,1,1,2,2,NA,NA,3,20,72
31544,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,36
31545,1,40,NA,6,21,1,1,60,2,NA,NA,2,NA,NA
31546,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,144
31547,1,76,NA,1,18,1,5,6,2,NA,NA,1,18,8
31548,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,336
31550,1,40,NA,16,11,4,2,9,2,NA,NA,2,NA,NA
31551,1,50,NA,11,17,1,1,3,2,NA,NA,1,16,60
31553,1,44,NA,5,20,1,1,120,2,NA,NA,2,NA,NA
31555,1,70,NA,4,1,5,1,60,1,2,NA,2,NA,NA
31556,1,25,1,18,16,1,1,0,1,1,NA,1,15,12
31557,1,50,NA,11,1,1,1,5,2,NA,NA,1,17,60
31558,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,324
31559,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,120
31560,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,48
31563,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,72
31564,1,49,NA,8,17,1,3,0,1,6,NA,1,19,8
31565,1,32,1,18,13,1,2,4,2,NA,NA,2,NA,NA
31567,1,51,NA,13,4,1,1,132,2,NA,NA,3,23,264
31569,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,120
31570,1,40,NA,21,1,3,1,228,2,NA,NA,2,NA,NA
31571,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,16,24
31572,1,38,NA,18,13,1,4,3,2,NA,NA,2,NA,NA
31573,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,14,99999
31576,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,21,276
31577,1,40,NA,16,11,1,1,156,1,1,NA,1,17,240
31579,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,22,12
31581,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,14,96
31582,1,50,NA,6,21,1,4,156,2,NA,NA,2,NA,NA
31585,1,40,NA,20,14,5,1,216,2,NA,NA,2,NA,NA
31587,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,408
31588,1,18,2,8,17,1,4,2,2,NA,NA,2,NA,NA
31589,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31590,1,40,NA,14,12,1,1,36,2,NA,NA,2,NA,NA
31591,1,47,NA,11,16,1,2,2,2,NA,NA,1,17,72
31592,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,36
31593,1,30,1,16,11,3,1,24,2,NA,NA,1,17,60
31594,1,30,2,18,16,1,1,0,2,NA,NA,2,NA,NA
31597,1,30,2,18,16,1,2,12,1,2,NA,2,NA,NA
31599,1,60,NA,19,6,5,1,60,2,NA,NA,2,NA,NA
31601,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,24
31603,2,NA,2,5,21,1,5,84,1,4,NA,2,NA,NA
31604,2,NA,2,17,15,1,4,4,1,12,NA,2,NA,NA
31606,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,120
31608,1,30,1,15,8,3,1,60,2,NA,NA,1,21,84
31609,1,40,NA,1,16,1,1,24,1,1,NA,2,NA,NA
31610,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,360
31615,1,40,NA,3,17,4,1,132,2,NA,NA,2,NA,NA
31617,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31618,1,30,1,18,13,1,2,2,1,1,NA,2,NA,NA
31619,1,40,NA,17,1,1,5,24,2,NA,NA,2,NA,NA
31620,1,36,NA,16,17,1,1,84,2,NA,NA,2,NA,NA
31622,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,240
31625,1,35,NA,17,14,1,1,0,1,1,NA,7,NA,NA
31627,1,6,2,4,14,1,4,18,1,5,NA,1,12,48
31629,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,14,36
31630,1,25,2,5,16,1,1,36,2,NA,NA,2,NA,NA
31633,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,36
31634,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,18,420
31635,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,18,168
31636,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,120
31638,1,25,2,8,16,1,4,60,2,NA,NA,2,NA,NA
31639,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,4
31640,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,96
31641,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
31643,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31646,1,40,NA,4,19,1,1,8,2,NA,NA,2,NA,NA
31649,1,60,NA,8,1,5,1,216,2,NA,NA,2,NA,NA
31650,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31651,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,14,0
31652,1,30,1,16,17,1,1,3,2,NA,NA,2,NA,NA
31653,1,20,2,18,16,1,2,3,1,1,NA,2,NA,NA
31657,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,19,120
31658,1,40,NA,16,12,1,2,36,2,NA,NA,2,NA,NA
31661,1,53,NA,8,16,1,4,3,1,2,NA,1,8,300
31662,1,40,NA,6,21,1,1,120,2,NA,NA,2,NA,NA
31663,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,408
31666,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,120
31668,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,240
31669,1,40,NA,18,13,1,1,24,2,NA,NA,2,NA,NA
31672,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,17,3
31674,1,45,NA,12,1,1,1,48,2,NA,NA,1,17,60
31679,1,40,NA,6,4,1,1,72,2,NA,NA,2,NA,NA
31680,1,40,NA,6,21,1,1,12,2,NA,NA,2,NA,NA
31681,1,40,NA,18,13,1,4,7,1,8,NA,2,NA,NA
31686,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
31689,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
31690,1,24,2,16,10,1,3,0,2,NA,NA,2,NA,NA
31691,1,40,NA,16,11,3,1,204,1,8,NA,2,NA,NA
31699,1,40,NA,5,2,1,1,120,2,NA,NA,2,NA,NA
31700,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,8
31702,1,24,2,8,16,1,4,24,2,NA,NA,1,21,36
31703,1,30,2,14,22,1,1,5,1,6,NA,1,6,84
31704,1,40,NA,8,21,1,1,3,2,NA,NA,2,NA,NA
31706,1,50,NA,11,1,1,1,144,2,NA,NA,2,NA,NA
31707,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
31708,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA
31709,1,40,NA,21,14,4,1,36,2,NA,NA,1,21,216
31710,1,73,NA,5,21,1,3,36,2,NA,NA,1,18,300
31711,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,24
31712,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
31714,1,44,NA,8,22,1,3,24,1,2,NA,1,13,36
31717,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,72
31718,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
31720,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,300
31721,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,336
31723,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,24
31724,1,24,2,8,1,1,1,96,2,NA,NA,2,NA,NA
31725,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,48
31729,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,12,264
31732,2,NA,1,21,2,3,1,120,2,NA,NA,1,4,144
31733,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,420
31734,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,396
31736,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,480
31737,2,NA,2,15,8,4,1,6,2,NA,NA,1,16,24
31739,1,45,NA,13,17,1,3,6,2,NA,NA,1,22,60
31740,1,50,NA,10,1,1,1,4,2,NA,NA,1,5,18
31741,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,240
31742,1,44,NA,8,9,1,1,18,2,NA,NA,1,17,36
31744,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,108
31746,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,264
31747,2,NA,1,15,8,4,1,48,2,NA,NA,1,9,84
31748,1,10,2,17,9,5,2,420,1,5,NA,2,NA,NA
31751,1,49,NA,7,22,1,1,0,2,NA,NA,1,22,12
