"seqn","fsd032a","fsd032b","fsd032c","fsd032d","fsd032e","fsd032f","fsd041","fsd052","fsd061","fsd071","fsd081","fsd092","fsd102","fsd111","fsd122","fsd132","fsd141","fsd146","fsdhh","fsdad","fsdch","fsd151","fsd401","fsd411","fsd421","fsd431","fsq440","fsd451","fsq170","fsd170n","fsd180","fsd190","fsd200","fsq210","fsq220","fsq162","fsd650","fsd660","fsd670"
31145,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,NA,NA,NA
31146,2,3,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31147,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,270,NA,2,NA,NA,NA
31148,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,592,NA,2,NA,NA,NA
31149,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31150,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31151,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31152,3,2,2,2,2,2,2,NA,2,2,2,2,NA,2,2,NA,2,2,3,2,3,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,1,1,1,60
31153,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,1,12,1,140,NA,2,NA,NA,NA
31154,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31155,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31156,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31157,2,1,3,2,2,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,2,2,NA,2,1,1,2,NA,NA,NA,140,2,NA,NA,NA
31158,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31159,2,3,3,2,2,2,1,2,1,1,2,1,2,2,2,NA,2,2,4,4,3,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31160,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31161,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31162,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31163,2,2,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31164,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31165,2,2,2,2,2,2,2,NA,2,2,2,2,NA,2,2,NA,2,2,3,3,3,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31166,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31167,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31168,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,1,1,11
31169,2,2,2,2,2,3,2,NA,1,1,2,2,NA,2,2,NA,2,2,3,3,3,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31170,2,2,2,3,2,3,2,NA,1,1,1,1,2,1,1,3,2,2,4,4,3,1,3,3,3,3,NA,2,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31171,1,1,3,1,2,2,1,2,2,2,2,2,NA,1,2,NA,1,2,4,3,4,1,3,3,3,3,NA,2,2,0,2,NA,NA,NA,NA,1,NA,NA,NA
31172,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,1,5,1,349,NA,1,NA,NA,NA
31173,2,1,2,2,2,1,2,NA,2,2,2,2,NA,2,2,NA,2,2,3,3,3,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31174,2,2,2,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31175,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31176,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,300,NA,1,1,1,36
31177,1,3,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,1,NA,NA,NA
31178,2,3,2,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,2,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31179,2,2,2,NA,NA,NA,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31180,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31181,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31182,2,3,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,2,NA,2,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31183,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31184,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,300,NA,1,1,1,3
31185,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,1000,NA,1,1,1,13
31186,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,NA,NA,NA
31187,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31188,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,278,NA,2,2,NA,NA
31189,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31190,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31191,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,170,NA,1,2,NA,NA
31192,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31193,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31194,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31195,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31196,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31197,2,3,3,1,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,3,NA,2,2,0,2,NA,NA,NA,NA,1,2,NA,NA
31198,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,1,1,3
31199,2,2,3,NA,NA,NA,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31200,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31201,2,2,1,NA,NA,NA,2,NA,2,2,1,1,2,NA,NA,NA,NA,NA,3,4,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31202,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,1,1,12
31203,2,2,2,2,2,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,1,1,1,2
31204,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31205,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31206,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,1,12,1,140,NA,2,NA,NA,NA
31207,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31208,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31209,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,325,1,1,1,24
31210,3,3,2,NA,NA,NA,2,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,3,3,3,2,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31211,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31212,1,1,3,1,1,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,3,3,3,2,2,1,2,1,12,1,599,NA,1,1,1,1
31213,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31214,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,380,NA,2,NA,NA,NA
31215,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31216,2,3,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31217,1,2,2,1,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,3,2,3,3,NA,2,1,1,2,NA,NA,137,NA,1,1,1,14
31218,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31219,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31220,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31221,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31222,2,3,3,2,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,3,2,NA,2,2,0,2,NA,NA,NA,NA,1,1,1,48
31223,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31224,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31225,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,10
31227,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31228,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,NA,NA,NA
31229,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31230,2,2,2,2,2,2,2,NA,2,2,2,2,NA,2,2,NA,2,2,3,3,3,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31231,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31232,2,2,2,NA,NA,NA,2,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,3,3,NA,2,3,3,2,3,2,2,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31233,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31234,2,2,3,3,3,3,1,2,2,2,2,2,NA,2,2,NA,2,2,3,3,1,1,3,3,3,3,NA,NA,1,1,2,NA,NA,NA,335,1,1,1,9
31235,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,3,2,2,4,4,4,1,3,3,3,3,2,NA,1,3,1,2,2,NA,236,1,NA,NA,NA
31236,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,1,2,NA,NA
31237,2,2,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,2,NA,2,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31238,2,2,3,3,3,3,1,3,2,2,2,2,NA,2,2,NA,2,2,3,3,1,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31239,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31240,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
31241,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31242,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31243,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31244,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31245,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31246,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31247,1,2,2,1,2,3,1,3,2,1,2,2,NA,1,2,NA,2,2,4,3,3,1,3,3,3,3,NA,NA,1,1,2,NA,NA,520,NA,1,NA,NA,NA
31248,2,2,3,2,2,2,1,2,1,1,1,2,NA,1,1,2,1,2,4,4,4,2,1,1,1,1,2,1,1,1,2,NA,NA,152,NA,1,NA,NA,NA
31249,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31250,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31251,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,400,NA,2,1,2,24
31252,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31253,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA
31254,2,2,2,NA,NA,NA,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,2,3,3,3,2,2,2,0,2,NA,NA,NA,NA,2,NA,NA,NA
31255,2,3,3,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,2,NA,1,1,1,2,2,NA,2,1,2,NA,NA
31256,3,3,2,3,3,3,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,3,3,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA
